,bathrooms,Z_test_LIN_lt5c,Z_test_RF_lt5c,Z_test_GB_lt5c,Z_test_LIN_t07,Z_test_RF_t07,Z_test_GB_t07
0,0.0,0.6410351664466498,0.5977035381463951,0.3995343364872436,0.47877743006906354,0.09541445685733085,0.09439700969514792
1,0.5,0.1740029735610408,0.17646577818271325,0.057403314934639904,0.3005395648989216,0.14706264258816418,0.14869908660597575
2,1.0,0.34277619013382066,0.32135756509907404,0.30894979087331814,0.33416620563278493,0.16632152106874992,0.17463566931636085
3,1.5,0.4040984184179959,0.37586051077592103,0.3590197471162258,0.30956801659468325,0.11198866668406808,0.12449578441482247
4,2.0,0.3093971396228245,0.27815645197536926,0.27948983362547675,0.33496907648269975,0.10110706465156591,0.10962912894213352
5,2.5,0.36134409594961997,0.31048484439608676,0.2348021094090047,0.3180057655059098,0.07386440474780573,0.08271071130130582
6,3.0,0.21709716391685688,0.18006510944787815,0.2027582734806149,0.2885437784262985,0.08609846989823114,0.08883326607354217
7,3.5,0.32533292278898884,0.12572271122365816,0.09193732853975603,0.22988171185042988,0.032996980788914276,0.031887378632189434
8,4.0,0.9364178835488058,0.30583599298547065,0.13799596723909163,0.7137038742197396,0.04849568068215767,0.05018367944283952
9,4.5,0.0944224016272487,0.15882230284593232,0.10434592529983044,0.20896280597420538,0.14865656565656563,0.13992003480383816
10,5.0,0.9834594406328625,0.12108317151657579,0.08037928774668629,0.29591695301102783,0.17956266666666665,0.15529734091992717
11,6.5,,,,0.44813915547662564,0.0,0.0006747272504045353
12,7.0,3.4243251456037087,1.7059327795593144,1.0952345672740786,3.6078233335263157,0.0,0.13519371454498313
