,zipcode,Z_test_LIN_lt5c,Z_test_RF_lt5c,Z_test_GB_lt5c,Z_test_LIN_t07,Z_test_RF_t07,Z_test_GB_t07
0,94014.0,0.5243397154167035,0.7909644458568068,0.5221438888708566,0.6560921953760996,0.4115537207420942,0.40387838258559117
1,94015.0,,,,0.1572354856894409,0.24101327885597568,0.1980785164788027
2,94102.0,0.47101644029388184,0.22021094013446663,0.18355979709476108,0.3733479894834546,0.06159888582746537,0.06446731151949424
3,94103.0,0.22833229521424214,0.1990091391844899,0.2116477566705097,0.25384864228602316,0.09662677389747311,0.09895077735023491
4,94104.0,0.2006363930908306,0.3985835554560907,0.21512698127700078,0.2397024985217462,0.0926188973063973,0.09288965918979196
5,94105.0,0.33957148105833695,0.34225836870463694,0.3780070416726793,0.2549665723807249,0.07499518157289489,0.07794878634219266
6,94107.0,0.2505273802340883,0.27861126478600845,0.2938117976583577,0.24199326071230645,0.08013325543163295,0.08251835578652411
7,94108.0,0.5338169880349266,0.35947000558673364,0.18802138958087913,0.4446083842152323,0.06758820354549294,0.0723324264761892
8,94109.0,0.4145884013989041,0.38149329325504766,0.31019137479900466,0.31258970680068254,0.07397323385345697,0.07722528784903418
9,94110.0,0.29337930961156444,0.29481164583543207,0.3190040572118486,0.283875047803983,0.09241641274760018,0.09730508241970229
10,94111.0,0.1687615577668149,0.20534044806991772,0.1160332747734228,0.5018050762153301,0.08267962792064862,0.08357413051888865
11,94112.0,0.46877707774900657,0.44827930602442634,0.34641137481712947,0.5015457787970797,0.11157530527080364,0.11819367034748719
12,94114.0,0.24518145773514327,0.23317857406017845,0.2432085909786554,0.26007216918461495,0.0951035628671162,0.0961504969806678
13,94115.0,0.2978644940852502,0.2847844418961351,0.22370135435669064,0.2528720344872545,0.0934953172930587,0.09410669537044003
14,94116.0,0.4083494515652532,0.3600524055227887,0.2748083057450641,0.45991528105099205,0.17895847492052067,0.19600546556963655
15,94117.0,0.3433045820987953,0.23328222594418016,0.22173534063348643,0.2878278747771529,0.11747209864767547,0.12030010802388343
16,94118.0,0.36613388758391485,0.3635387764475574,0.3493696355496947,0.31466804547062593,0.061237769665485144,0.07006331873552035
17,94121.0,0.45102479812562085,0.4307625446888477,0.3688681840678469,0.3360173965020849,0.09155958306447311,0.09266673114286061
18,94122.0,0.35841097294848856,0.34501464803004583,0.2940991853696961,0.3636885049004147,0.13318519306089774,0.14009811251865345
19,94123.0,0.3118764542374964,0.26513606335321765,0.280848034921527,0.2687598904275031,0.2068022308925097,0.22179532495796808
20,94124.0,0.7194498848819627,0.6207856212558098,0.4900192479202107,0.5909237383556198,0.1276799882876133,0.13472614145222678
21,94127.0,0.18822855349663212,0.20938337072996405,0.1409782736930407,0.3127134719408203,0.07042402900051378,0.065911519247011
22,94129.0,0.051335701348730486,0.078688418176684,0.05958178674743811,0.05050360603488089,0.05611864406779663,0.015699690785789946
23,94131.0,0.3057679475412538,0.2872772625843607,0.26659936388989186,0.2862913973696156,0.09025819686203475,0.09511631474023434
24,94132.0,0.6168524330901572,0.21925155566483945,0.15578124242853564,0.6165822025773892,0.19331166533908084,0.17459515180676913
25,94133.0,0.265594103179964,0.25072674419299046,0.214532485681173,0.28092882967242055,0.07016063215987511,0.07090151007355139
26,94134.0,0.4867429586622718,0.4650876374320684,0.3640393958261588,0.5453678557526841,0.1720082559652604,0.17652763445350017
27,94158.0,0.2520579487733819,0.18649576097507514,0.18000031849016704,0.2681954403394171,0.2507154177170555,0.24862655565623104
28,94965.0,,,,0.30421432742417615,0.022666666666666738,0.026928312458855113
