,bedrooms,Z_test_LIN_lt5c,Z_test_RF_lt5c,Z_test_GB_lt5c,Z_test_LIN_t07,Z_test_RF_t07,Z_test_GB_t07
0,0.0,0.35258538440702714,0.3276018740727172,0.27203244757925416,0.3441131230802992,0.12416354736762683,0.1332216158749323
1,1.0,0.37718436094282676,0.33608578909246994,0.319581550860597,0.3445644964810471,0.17659588765851733,0.1849052899191068
2,2.0,0.3182656712026861,0.30012640933898943,0.2967032499360717,0.3202358499466559,0.10691211338834944,0.116262135762185
3,3.0,0.3021873641424175,0.2839448227809202,0.2743106874357965,0.29464304155755033,0.08596776595337301,0.09138906768126469
4,4.0,0.19705590619720253,0.21740945264560205,0.2130064759243705,0.26388954794772035,0.0753566603251197,0.07842151803474699
5,5.0,0.17115493490497774,0.20499927548710617,0.23214009681876493,0.10540522480355943,0.0837111111111111,0.09175158557099998
6,6.0,,,,0.015087528318366341,0.11051111111111116,0.16292197952453902
7,7.0,,,,5.4064977695125265,0.0,0.23783200709291424
